sbu_id,department,course_num,section,semester,year,grade
2234501,BMI,501,01,Spring,2021,A
2234501,BMI,503,01,Spring,2021,A
2234501,BMI,512,01,Spring,2021,A
2234501,BMI,592,01,Spring,2021,A
2234501,BMI,592,01,Fall,2021,A
2234501,BMI,598,01,Fall,2021,A
2234501,BMI,540,01,Fall,2021,A
2234501,BMI,517,01,Fall,2021,A
2234501,BMI,550,01,Fall,2021,A
2234501,BMI,592,01,Spring,2022,A
2234501,BMI,598,01,Spring,2022,A
2234501,BMI,520,01,Spring,2022,A
2234502,BMI,501,01,Spring,2021,A
2234502,BMI,503,01,Spring,2021,A
2234502,BMI,512,01,Spring,2021,A
2234502,BMI,592,01,Spring,2021,A
2234502,BMI,592,01,Fall,2021,A
2234502,BMI,598,01,Fall,2021,A
2234502,BMI,540,01,Fall,2021,A
2234502,BMI,517,01,Fall,2021,A
2234502,BMI,550,01,Fall,2021,A
2234502,BMI,592,01,Spring,2022,A
2234502,BMI,598,01,Spring,2022,A
2234502,BMI,520,01,Spring,2022,A
2234503,BMI,501,01,Spring,2021,A
2234503,BMI,503,01,Spring,2021,A
2234503,BMI,512,01,Spring,2021,A
2234503,BMI,592,01,Spring,2021,A
2234503,BMI,592,01,Fall,2021,A
2234503,BMI,598,01,Fall,2021,A
2234503,BMI,540,01,Fall,2021,A
2234503,BMI,517,01,Fall,2021,A
2234503,BMI,550,01,Fall,2021,A
2234503,BMI,592,01,Spring,2022,A
2234503,BMI,598,01,Spring,2022,A
2234503,BMI,520,01,Spring,2022,A
