sbu_id,department,course_num,section,semester,year,grade
12345,AMS,510,01,Spring,2021,A
12345,AMS,595,01,Spring,2021,A
12345,AMS,535,01,Spring,2021,A
12345,AMS,530,01,Spring,2021,A
12345,AMS,532,01,Spring,2021,S
12345,AMS,539,01,Spring,2021,A
12345,AMS,533,01,Fall,2021,A
12345,AMS,537,01,Fall,2021,A
12345,AMS,534,01,Fall,2021,A
12345,AMS,536,01,Fall,2021,A
12345,AMS,532,01,Fall,2021,S
12345,PHY,561,01,Fall,2021,A
12345,AMS,507,01,Spring,2022,A
12345,CHE,541,01,Spring,2022,A
12345,PHY,558,01,Spring,2022,A
12345,AMS,532,01,Spring,2022,S
12345,AMS,599,01,Fall,2022,S
12345,CHE,528,01,Fall,2022,A
12345,AMS,548,01,Fall,2022,A
12345,JRN,565,01,Fall,2022,A
12345,CSE,549,01,Fall,2022,A

12346,AMS,501,01,Spring,2021,A
12346,AMS,510,01,Spring,2021,A
12346,AMS,526,01,Spring,2021,A
12346,AMS,595,01,Spring,2021,A
12346,AMS,502,01,Fall,2021,A
12346,AMS,527,01,Fall,2021,A
12346,AMS,528,01,Fall,2021,A
12346,AMS,561,01,Fall,2021,A
12346,AMS,526,01,Spring,2022,A
12346,AMS,503,01,Spring,2022,A
12346,AMS,530,01,Spring,2022,A
12346,AMS,542,01,Spring,2022,A

12347,AMS,507,01,Spring,2021,A
12347,AMS,510,01,Spring,2021,A
12347,AMS,540,01,Spring,2021,A
12347,AMS,595,01,Spring,2021,A
12347,AMS,550,01,Fall,2021,A
12347,AMS,570,01,Fall,2021,A
12347,AMS,542,01,Fall,2021,A
12347,AMS,553,01,Spring,2022,A
12347,AMS,552,01,Spring,2022,A
12347,AMS,547,01,Spring,2022,A

12348,AMS,507,01,Spring,2021,A
12348,AMS,510,01,Spring,2021,A
12348,AMS,511,01,Spring,2021,A
12348,AMS,572,01,Spring,2021,A
12348,AMS,512,01,Fall,2021,A
12348,AMS,513,01,Fall,2021,A
12348,AMS,517,01,Fall,2021,A
12348,AMS,515,01,Fall,2021,A
12348,AMS,527,01,Fall,2021,A
12348,AMS,514,01,Spring,2022,A
12348,AMS,516,01,Spring,2022,A
12348,AMS,518,01,Spring,2022,A
12348,AMS,530,01,Spring,2022,A

12349,AMS,507,01,Spring,2021,A
12349,AMS,510,01,Spring,2021,A
12349,AMS,570,01,Spring,2021,A
12349,AMS,572,01,Spring,2021,A
12349,AMS,571,01,Fall,2021,A
12349,AMS,573,01,Fall,2021,A
12349,AMS,578,01,Fall,2021,A
12349,AMS,582,01,Fall,2021,A
12349,AMS,597,01,Spring,2022,A
12349,AMS,595,01,Spring,2022,A
12349,AMS,586,01,Spring,2022,A

22345,BMI,501,01,Spring,2021,A
22345,BMI,503,01,Spring,2021,A
22345,BMI,512,01,Spring,2021,A
22345,BMI,592,01,Spring,2021,A
22345,BMI,592,01,Fall,2021,A
22345,BMI,598,01,Fall,2021,A
22345,BMI,540,01,Fall,2021,A
22345,BMI,517,01,Fall,2021,A
22345,BMI,550,01,Fall,2021,A
22345,BMI,592,01,Spring,2022,A
22345,BMI,598,01,Spring,2022,A
22345,BMI,520,01,Spring,2022,A

22346,BMI,501,01,Spring,2021,A
22346,BMI,503,01,Spring,2021,A
22346,BMI,512,01,Spring,2021,A
22346,BMI,592,01,Spring,2021,A
22346,BMI,592,01,Fall,2021,A
22346,BMI,599,01,Fall,2021,A
22346,BMI,540,01,Fall,2021,A
22346,BMI,517,01,Fall,2021,A
22346,BMI,550,01,Fall,2021,A
22346,BMI,592,01,Spring,2022,A
22346,BMI,599,01,Spring,2022,A
22346,BMI,520,01,Spring,2022,A

22347,BMI,501,01,Spring,2021,A
22347,BMI,502,01,Spring,2021,A
22347,BMI,513,01,Spring,2021,A
22347,BMI,592,01,Spring,2021,A
22347,BMI,592,01,Fall,2021,A
22347,BMI,598,01,Fall,2021,A
22347,BMI,540,01,Fall,2021,A
22347,BMI,514,01,Fall,2021,A
22347,BMI,520,01,Fall,2021,A
22347,BMI,517,01,Spring,2022,A
22347,BMI,592,01,Spring,2022,A
22347,BMI,598,01,Spring,2022,A

22348,BMI,501,01,Spring,2021,A
22348,BMI,502,01,Spring,2021,A
22348,BMI,513,01,Spring,2021,A
22348,BMI,592,01,Spring,2021,A
22348,BMI,599,01,Spring,2021,A
22348,BMI,592,01,Fall,2021,A
22348,BMI,599,01,Fall,2021,A
22348,BMI,540,01,Fall,2021,A
22348,BMI,514,01,Fall,2021,A
22348,BMI,520,01,Fall,2021,A
22348,BMI,517,01,Spring,2022,A
22348,BMI,592,01,Spring,2022,A
22348,BMI,599,01,Spring,2022,A

22349,BMI,501,01,Spring,2021,A
22349,BMI,502,01,Spring,2021,A
22349,BMI,511,01,Spring,2021,A
22349,BMI,592,01,Spring,2021,A
22349,BMI,592,01,Fall,2021,A
22349,BMI,598,01,Fall,2021,A
22349,BMI,540,01,Fall,2021,A
22349,BMI,560,01,Fall,2021,A
22349,BMI,520,01,Fall,2021,A
22349,BMI,517,01,Spring,2022,A
22349,BMI,592,01,Spring,2022,A
22349,BMI,598,01,Spring,2022,A

22350,BMI,501,01,Spring,2021,A
22350,BMI,502,01,Spring,2021,A
22350,BMI,511,01,Spring,2021,A
22350,BMI,592,01,Spring,2021,A
22350,BMI,599,01,Spring,2021,A
22350,BMI,592,01,Fall,2021,A
22350,BMI,599,01,Fall,2021,A
22350,BMI,540,01,Fall,2021,A
22350,BMI,560,01,Fall,2021,A
22350,BMI,520,01,Fall,2021,A
22350,BMI,517,01,Spring,2022,A
22350,BMI,592,01,Spring,2022,A
22350,BMI,599,01,Spring,2022,A

32345,CSE,523,01,Spring,2021,A
32345,CSE,502,01,Spring,2021,A
32345,CSE,505,01,Spring,2021,A
32345,CSE,512,01,Spring,2021,A
32345,CSE,524,01,Fall,2021,A
32345,CSE,508,01,Fall,2021,A
32345,CSE,527,01,Fall,2021,A
32345,CSE,528,01,Fall,2021,A
32345,CSE,564,01,Spring,2022,A
32345,CSE,548,01,Spring,2022,A
32345,CSE,546,01,Spring,2022,A

32346,CSE,522,01,Spring,2021,A
32346,CSE,502,01,Spring,2021,A
32346,CSE,505,01,Spring,2021,A
32346,CSE,512,01,Spring,2021,A
32346,CSE,538,01,Fall,2021,A
32346,CSE,508,01,Fall,2021,A
32346,CSE,527,01,Fall,2021,A
32346,CSE,528,01,Fall,2021,A
32346,CSE,564,01,Spring,2022,A
32346,CSE,548,01,Spring,2022,A
32346,CSE,546,01,Spring,2022,A

32347,CSE,599,01,Spring,2021,A
32347,CSE,502,01,Spring,2021,A
32347,CSE,505,01,Spring,2021,A
32347,CSE,512,01,Spring,2021,A
32347,CSE,538,01,Fall,2021,A
32347,CSE,508,01,Fall,2021,A
32347,CSE,527,01,Fall,2021,A
32347,CSE,599,01,Fall,2021,A
32347,CSE,564,01,Spring,2022,A
32347,CSE,548,01,Spring,2022,A
32347,CSE,599,01,Spring,2022,A

42345,ESE,536,01,Spring,2021,A
42345,ESE,545,01,Spring,2021,A
42345,ESE,505,01,Spring,2021,A
42345,ESE,507,01,Spring,2021,A
42345,ESE,501,01,Fall,2021,A
42345,ESE,533,01,Fall,2021,A
42345,ESE,597,01,Fall,2021,A
42345,ESE,534,01,Fall,2021,A
42345,CSE,548,01,Spring,2022,A
42345,ESE,575,01,Spring,2022,A

42346,ESE,536,01,Spring,2021,A
42346,ESE,545,01,Spring,2021,A
42346,ESE,505,01,Spring,2021,A
42346,ESE,507,01,Spring,2021,A
42346,ESE,501,01,Fall,2021,A
42346,CSE,506,01,Fall,2021,A
42346,ESE,599,01,Fall,2021,A
42346,ESE,534,01,Fall,2021,A
42346,AMS,542,01,Spring,2022,A
42346,ESE,575,01,Spring,2022,A
42346,ESE,599,01,Spring,2022,A
42346,ESE,597,01,Spring,2022,A
